epoch,loss,cer_train
1,17.60680627822876,1.0
2,5.330873370170593,1.0
3,4.349898934364319,1.0
4,4.020219564437866,1.0
5,3.7966368198394775,1.0
6,3.879547953605652,1.0
7,3.6927244067192078,1.0
8,3.6885409355163574,1.0
9,3.6632107496261597,1.0
10,3.643173635005951,1.0
11,3.666434407234192,1.0
12,3.619566321372986,1.0
13,3.6201791763305664,1.0
14,3.6238232254981995,1.0
15,3.599825441837311,0.9939024448394775
16,3.5680850744247437,0.9939024448394775
17,3.6018962264060974,0.9939024448394775
18,3.6513307690620422,0.9939024448394775
19,3.618721842765808,0.9939024448394775
20,3.6042147278785706,0.9939024448394775
21,3.600252866744995,0.9939024448394775
22,3.6513112783432007,0.9939024448394775
23,3.59732848405838,0.9939024448394775
24,3.548414945602417,0.9939024448394775
25,3.499516248703003,0.9939024448394775
26,3.4824641942977905,0.9939024448394775
27,3.478923797607422,0.9939024448394775
28,3.47306489944458,0.9939024448394775
29,3.4073858857154846,0.9939024448394775
30,3.4663063287734985,0.9817073345184326
31,3.486070930957794,0.9817073345184326
32,3.4918952584266663,0.9817073345184326
33,3.3932751417160034,0.9817073345184326
34,3.4025612473487854,0.9817073345184326
35,3.396102249622345,0.9512194991111755
36,3.3747634291648865,0.9512194991111755
37,3.3900415897369385,0.9390243887901306
38,3.3589770197868347,0.9329268336296082
39,3.308033525943756,0.9268292784690857
40,3.3287051916122437,0.9268292784690857
41,3.271038234233856,0.9329268336296082
42,3.2856934666633606,0.9268292784690857
43,3.2483617067337036,0.9207317233085632
44,3.249785363674164,0.9329268336296082
45,3.228518486022949,0.9024389982223511
46,3.291326403617859,0.8719512224197388
47,3.2206268906593323,0.8841463327407837
48,3.1955814957618713,0.8841463327407837
49,3.153967499732971,0.8902438879013062
50,3.1283035278320312,0.8841463327407837
51,3.1192442178726196,0.8780487775802612
52,3.1280535459518433,0.8658536672592163
53,3.119534969329834,0.8780487775802612
54,3.072959005832672,0.8597561120986938
55,3.0837298035621643,0.8292682766914368
56,2.9997679591178894,0.8292682766914368
57,3.0274264812469482,0.8353658318519592
58,2.982961416244507,0.8353658318519592
59,2.9873501658439636,0.8353658318519592
60,2.897734761238098,0.8353658318519592
61,2.9032538533210754,0.8292682766914368
62,2.92717444896698,0.8109756112098694
63,2.9510518312454224,0.8353658318519592
64,2.89199697971344,0.8414633870124817
65,2.876682758331299,0.8475610017776489
66,2.8683266043663025,0.8414633870124817
67,2.8544145822525024,0.8170731663703918
68,2.844662308692932,0.8109756112098694
69,2.8034698367118835,0.7987805008888245
70,2.763829290866852,0.8048780560493469
71,2.765732169151306,0.7682926654815674
72,2.764558434486389,0.7865853905677795
73,2.787489414215088,0.7865853905677795
74,2.742882549762726,0.8048780560493469
75,2.7490334510803223,0.7682926654815674
76,2.672715485095978,0.7682926654815674
77,2.683645188808441,0.7865853905677795
78,2.6798656582832336,0.75
79,2.6463392972946167,0.7621951103210449
80,2.634869396686554,0.75
81,2.6134884357452393,0.7195122241973877
82,2.5680221915245056,0.7256097793579102
83,2.5560088753700256,0.7317073345184326
84,2.5610905289649963,0.7317073345184326
85,2.5264540910720825,0.7621951103210449
86,2.533286392688751,0.75
87,2.4809245467185974,0.7621951103210449
88,2.48999559879303,0.7256097793579102
89,2.4746644496917725,0.7317073345184326
90,2.4523823261260986,0.7317073345184326
91,2.4607268571853638,0.7256097793579102
92,2.4273518919944763,0.707317054271698
93,2.3820319771766663,0.7195122241973877
94,2.3845701217651367,0.7012194991111755
95,2.3619154691696167,0.7012194991111755
96,2.2996357679367065,0.6890243887901306
97,2.2673377990722656,0.707317054271698
98,2.2467128336429596,0.6890243887901306
99,2.1916941702365875,0.6585366129875183
100,2.218583106994629,0.6646341681480408
101,2.203184723854065,0.6524389982223511
102,2.1976162791252136,0.6585366129875183
103,2.1733776330947876,0.6524389982223511
104,2.142078161239624,0.6524389982223511
105,2.163336843252182,0.6463414430618286
106,2.065159857273102,0.6402438879013062
107,2.1300415098667145,0.5975610017776489
108,2.0642849802970886,0.6402438879013062
109,2.0722453892230988,0.5975610017776489
110,2.094274163246155,0.6097561120986938
111,2.0595147609710693,0.6280487775802612
112,2.0194196105003357,0.6036585569381714
113,1.9860209822654724,0.5914633870124817
114,1.9690254628658295,0.5731707215309143
115,1.9618676602840424,0.5731707215309143
116,1.8749447166919708,0.5731707215309143
117,1.9089624285697937,0.5731707215309143
118,1.9458596408367157,0.5670731663703918
119,1.8842808902263641,0.5548780560493469
120,1.8156005442142487,0.5304877758026123
121,1.8243609964847565,0.5487805008888245
122,1.8613317608833313,0.5304877758026123
123,1.7988339066505432,0.5121951103210449
124,1.7971549928188324,0.5121951103210449
125,1.7671547830104828,0.5121951103210449
126,1.733762413263321,0.5182926654815674
127,1.7269703447818756,0.5060975551605225
128,1.7131531536579132,0.5121951103210449
129,1.6795207262039185,0.5
130,1.6868013143539429,0.5304877758026123
131,1.662928730249405,0.5548780560493469
132,1.6090097725391388,0.5060975551605225
133,1.6352267861366272,0.4695121943950653
134,1.5881941616535187,0.46341463923454285
135,1.5902124643325806,0.49390244483947754
136,1.5808833241462708,0.5
137,1.530637949705124,0.46341463923454285
138,1.513003021478653,0.5243902206420898
139,1.5593801438808441,0.4695121943950653
140,1.4595724642276764,0.5182926654815674
141,1.3919724375009537,0.5243902206420898
142,1.5901158452033997,0.5121951103210449
143,1.5032302141189575,0.46341463923454285
144,1.4908391535282135,0.5182926654815674
145,1.398762047290802,0.4573170840740204
146,1.4495872408151627,0.49390244483947754
147,1.4262900948524475,0.47560974955558777
148,1.4503744840621948,0.6097561120986938
149,1.5077087879180908,0.46341463923454285
150,1.493513435125351,0.4695121943950653
151,1.3301663398742676,0.5060975551605225
152,1.3090748339891434,0.4451219439506531
153,1.3499320149421692,0.5304877758026123
154,1.2906063199043274,0.43292683362960815
155,1.2951186001300812,0.5365853905677795
156,1.3659633100032806,0.4451219439506531
157,1.3831304013729095,0.4878048896789551
158,1.3002517223358154,0.4268292784690857
159,1.2680267691612244,0.4451219439506531
160,1.2661387473344803,0.5182926654815674
